wall_ms,elapsed_rt_ms,kind,detail
1789420354625,990699471,hb,"recorder=1;since_fix_ms=629;fixes_this_process=317;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420359631,990704478,hb,"recorder=1;since_fix_ms=638;fixes_this_process=322;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420364637,990709483,hb,"recorder=1;since_fix_ms=648;fixes_this_process=327;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420369645,990714492,hb,"recorder=1;since_fix_ms=651;fixes_this_process=332;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420374654,990719500,hb,"recorder=1;since_fix_ms=660;fixes_this_process=337;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420379663,990724509,hb,"recorder=1;since_fix_ms=667;fixes_this_process=342;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420384672,990729518,hb,"recorder=1;since_fix_ms=676;fixes_this_process=347;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420389680,990734527,hb,"recorder=1;since_fix_ms=687;fixes_this_process=352;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420394691,990739538,hb,"recorder=1;since_fix_ms=697;fixes_this_process=357;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
1789420399696,990744543,hb,"recorder=1;since_fix_ms=703;fixes_this_process=362;write_failures=0;screen_on=1;doze=0;battery_saver=0;unrestricted=1;bg_restricted=0;standby_bucket=5;thermal=0;battery_pct=89;charging=0;music=0;location_on=1"
